layer,type,module,k,n,numel,quant,group_size,scale_format,bytes_w8,bytes_w4
text_encoder.language_backbone.body.model.encoder.layer.5.output.dense,nn.Linear,text_bert,3072,768,2359296,INT4 symmetric,-,1 x fp32 per-tensor scale,2359296,1179652
text_encoder.language_backbone.body.model.encoder.layer.6.attention.output.dense,nn.Linear,text_bert,768,768,589824,INT4 symmetric,-,1 x fp32 per-tensor scale,589824,294916
text_encoder.language_backbone.body.model.encoder.layer.6.attention.self.key,nn.Linear,text_bert,768,768,589824,INT4 symmetric,-,1 x fp32 per-tensor scale,589824,294916
text_encoder.language_backbone.body.model.encoder.layer.6.attention.self.query,nn.Linear,text_bert,768,768,589824,INT4 symmetric,-,1 x fp32 per-tensor scale,589824,294916
text_encoder.language_backbone.body.model.encoder.layer.6.attention.self.value,nn.Linear,text_bert,768,768,589824,INT4 symmetric,-,1 x fp32 per-tensor scale,589824,294916
text_encoder.language_backbone.body.model.encoder.layer.6.intermediate.dense,nn.Linear,text_bert,768,3072,2359296,INT4 symmetric,-,1 x fp32 per-tensor scale,2359296,1179652
text_encoder.language_backbone.body.model.encoder.layer.6.output.dense,nn.Linear,text_bert,3072,768,2359296,INT4 symmetric,-,1 x fp32 per-tensor scale,2359296,1179652
text_encoder.language_backbone.body.model.encoder.layer.7.attention.output.dense,nn.Linear,text_bert,768,768,589824,INT4 symmetric,-,1 x fp32 per-tensor scale,589824,294916
text_encoder.language_backbone.body.model.encoder.layer.7.attention.self.key,nn.Linear,text_bert,768,768,589824,INT4 symmetric,-,1 x fp32 per-tensor scale,589824,294916
text_encoder.language_backbone.body.model.encoder.layer.7.attention.self.query,nn.Linear,text_bert,768,768,589824,INT4 symmetric,-,1 x fp32 per-tensor scale,589824,294916
text_encoder.language_backbone.body.model.encoder.layer.7.attention.self.value,nn.Linear,text_bert,768,768,589824,INT4 symmetric,-,1 x fp32 per-tensor scale,589824,294916
text_encoder.language_backbone.body.model.encoder.layer.7.intermediate.dense,nn.Linear,text_bert,768,3072,2359296,INT4 symmetric,-,1 x fp32 per-tensor scale,2359296,1179652
